"","pwa_name","pwa_start_time","pwa_end_time","pwa_load_time","type","experiment"
"249","https://www.soundslice.com",1571187170.176,1571187170.454,0.277999877929688,"no cache",14
"251","https://www.nrw-tourismus.de",1571187237.999,1571187238.534,0.534999847412109,"no cache",14
"253","https://www.petlove.com.br",1571189133.196,1571189133.828,0.631999969482422,"no cache",15
"255","https://m.alibaba.com/",1571189209.686,1571189211.075,1.38899993896484,"no cache",15
"257","https://nylon.com",1571189291.689,1571189292.29,0.601000070571899,"no cache",15
"259","https://www.zumata.com",1571189371.273,1571189373.644,2.37100005149841,"no cache",15
"261","https://slate.com",1571189442.09,1571189443.227,1.13700008392334,"no cache",15
"263","https://www.smashingmagazine.com",1571189519.792,1571189520.656,0.863999843597412,"no cache",15
"265","https://edgy.app",1571189589.104,1571189589.351,0.246999979019165,"no cache",15
"267","https://www.soundslice.com",1571189658.242,1571189658.598,0.355999946594238,"no cache",15
"269","https://www.nrw-tourismus.de",1571189726.89,1571189727.421,0.530999898910522,"no cache",15
"271","https://www.petlove.com.br",1571189873.626,1571189874.406,0.779999971389771,"no cache",16
"273","https://m.alibaba.com/",1571189950.408,1571189953.12,2.71199989318848,"no cache",16
"275","https://nylon.com",1571190032.114,1571190032.669,0.554999828338623,"no cache",16
"277","https://www.zumata.com",1571190111.747,1571190114.127,2.38000011444092,"no cache",16
"279","https://slate.com",1571190182.749,1571190183.811,1.06200003623962,"no cache",16
"281","https://www.smashingmagazine.com",1571190260.612,1571190261.265,0.653000116348267,"no cache",16
"283","https://edgy.app",1571190329.19,1571190329.393,0.202999830245972,"no cache",16
"285","https://www.soundslice.com",1571190398.169,1571190398.424,0.255000114440918,"no cache",16
"287","https://www.nrw-tourismus.de",1571190466.13,1571190466.663,0.532999992370605,"no cache",16
"289","https://www.petlove.com.br",1571190613.272,1571190613.861,0.58899998664856,"no cache",17
